data.set;total.cost;lot.sale.days;overage;mileage;vehicle.type;domestic.import;vehicle.age;vehicle.age.group;color.set;makex;state;make.model
TRAIN;4037;135;YES;67341;FAMILY.LARGE;Domestic;8;SEVEN+;SILVER;BUICK;CA;BUICK.CENTURY
TRAIN;6886;114;YES;72823;FAMILY.MEDIUM;Domestic;6;SIX;WHITE;DODGE;AZ;DODGE.NEON
TRAIN;3924;205;YES;96330;FAMILY.MEDIUM;Domestic;9;SEVEN+;WHITE;OLDSMOBILE;FL;OLDSMOBILE.CUTLASS SUPREME
TRAIN;4636;100;YES;58519;ECONOMY;Import;4;FOUR;GOLD;KIA;NV;KIA.SEPHIA
TRAIN;5080;129;YES;99057;FAMILY.MEDIUM;Domestic;4;FOUR;GREEN;OLDSMOBILE;NV;OLDSMOBILE.CUTLASS SUPREME
TRAIN;4370;218;YES;82771;ECONOMY;Domestic;7;SEVEN+;WHITE;CHEVROLET;NM;CHEVROLET.CAVALIER
TRAIN;7578;128;YES;74255;FAMILY.MEDIUM;Import;5;FIVE;WHITE;MITSUBISHI;NV;MITSUBISHI.GALANT
TRAIN;5301;116;YES;82594;FAMILY.MEDIUM;Domestic;5;FIVE;PURPLE;OLDSMOBILE;AZ;OLDSMOBILE.CIERA
TRAIN;5531;100;YES;81167;FAMILY.LARGE;Domestic;5;FIVE;WHITE;FORD;FL;FORD.CROWN VICTORIA
TRAIN;5728;166;YES;80519;FAMILY.MEDIUM;Domestic;7;SEVEN+;SILVER;MERCURY;TX;MERCURY.SABLE
TRAIN;5992;136;YES;96373;FAMILY.LARGE;Domestic;6;SIX;SILVER;DODGE;TX;DODGE.INTREPID
TRAIN;5551;105;YES;85924;FAMILY.MEDIUM;Domestic;5;FIVE;PURPLE;CHEVROLET;AZ;CHEVROLET.CORSICA
TRAIN;5538;123;YES;86819;FAMILY.LARGE;Domestic;6;SIX;GREEN;OLDSMOBILE;CA;OLDSMOBILE.CUTLASS SUPREME
TRAIN;4446;116;YES;64722;FAMILY.MEDIUM;Domestic;8;SEVEN+;PURPLE;PONTIAC;CA;PONTIAC.GRAND AM
TRAIN;4651;120;YES;75798;FAMILY.LARGE;Domestic;8;SEVEN+;GREEN;BUICK;CA;BUICK.LESABRE
TRAIN;6593;94;YES;22239;FAMILY.MEDIUM;Import;1;ONE-THREE;WHITE;DAEWOO;TX;DAEWOO.LANOS
TRAIN;5921;96;YES;93490;FAMILY.SMALL;Import;5;FIVE;SILVER;NISSAN;CA;NISSAN.SENTRA
TRAIN;4036;191;YES;74504;ECONOMY;Domestic;7;SEVEN+;WHITE;DODGE;NM;DODGE.SPIRIT
TRAIN;5426;148;YES;78409;FAMILY.SMALL;Domestic;4;FOUR;WHITE;FORD;GA;FORD.CONTOUR
TRAIN;5410;100;YES;80564;FAMILY.MEDIUM;Domestic;5;FIVE;GREEN;FORD;FL;FORD.TAURUS
TRAIN;5917;189;YES;91287;FAMILY.MEDIUM;Domestic;4;FOUR;BLUE;OLDSMOBILE;TX;OLDSMOBILE.ACHIEVA
TRAIN;5755;107;YES;84604;FAMILY.SMALL;Import;4;FOUR;GREEN;GEO;CA;GEO.PRIZM
TRAIN;4934;193;YES;80881;ECONOMY;Import;5;FIVE;RED;GEO;FL;GEO.PRIZM
TRAIN;4889;119;YES;61182;ECONOMY;Domestic;6;SIX;PURPLE;FORD;NV;FORD.ESCORT
TRAIN;5941;139;YES;80706;FAMILY.MEDIUM;Domestic;3;ONE-THREE;WHITE;FORD;VA;FORD.TAURUS
TRAIN;3303;189;YES;81282;ECONOMY;Domestic;8;SEVEN+;SILVER;FORD;VA;FORD.TEMPO
TRAIN;7561;242;YES;105294;FAMILY.LARGE;Domestic;5;FIVE;RED;PONTIAC;AZ;PONTIAC.BONNEVILLE
TRAIN;4163;97;YES;87231;FAMILY.MEDIUM;Domestic;7;SEVEN+;PURPLE;OLDSMOBILE;VA;OLDSMOBILE.CIERA
TRAIN;5734;99;YES;100486;FAMILY.MEDIUM;Domestic;7;SEVEN+;GREEN;CHRYSLER;AZ;CHRYSLER.LHS
TRAIN;5516;106;YES;98747;FAMILY.LARGE;Domestic;6;SIX;GREEN;BUICK;FL;BUICK.LESABRE
TRAIN;5690;93;YES;57532;LUXURY;Import;7;SEVEN+;PURPLE;NISSAN;FL;NISSAN.SENTRA
TRAIN;4922;121;YES;58942;FAMILY.MEDIUM;Domestic;6;SIX;BLUE;OLDSMOBILE;FL;OLDSMOBILE.CIERA
TRAIN;5707;94;YES;79692;FAMILY.SMALL;Import;4;FOUR;SILVER;NISSAN;CA;NISSAN.SENTRA
TRAIN;7344;145;YES;94702;FAMILY.MEDIUM;Domestic;7;SEVEN+;WHITE;BUICK;GA;BUICK.REGAL
TRAIN;4588;101;YES;77800;FAMILY.SMALL;Import;6;SIX;PURPLE;GEO;CA;GEO.PRIZM
TRAIN;5439;99;YES;83375;FAMILY.MEDIUM;Domestic;6;SIX;BLUE;BUICK;VA;BUICK.REGAL
TRAIN;4639;148;YES;48370;ECONOMY;Import;4;FOUR;RED;GEO;FL;GEO.METRO
TRAIN;5741;283;YES;74550;ECONOMY;Import;6;SIX;WHITE;MAZDA;GA;MAZDA.PROTEGE
TRAIN;7959;227;YES;80435;FAMILY.MEDIUM;Domestic;3;ONE-THREE;BLACK;CHEVROLET;TX;CHEVROLET.LUMINA
TRAIN;4703;229;YES;64197;FAMILY.MEDIUM;Domestic;8;SEVEN+;BLUE;BUICK;FL;BUICK.CENTURY
TRAIN;5943;93;YES;64189;FAMILY.SMALL;Import;5;FIVE;BLUE;NISSAN;CA;NISSAN.SENTRA
TRAIN;4486;114;YES;98206;FAMILY.LARGE;Domestic;9;SEVEN+;SILVER;BUICK;CA;BUICK.LESABRE
TRAIN;5808;120;YES;87942;FAMILY.LARGE;Domestic;5;FIVE;WHITE;PONTIAC;CA;PONTIAC.GRAND PRIX
TRAIN;5091;102;YES;85723;FAMILY.MEDIUM;Domestic;7;SEVEN+;GREEN;PONTIAC;CA;PONTIAC.GRAND PRIX
TRAIN;4655;136;YES;101664;FAMILY.MEDIUM;Domestic;5;FIVE;GREEN;BUICK;FL;BUICK.LESABRE
TRAIN;4845;99;YES;76492;FAMILY.MEDIUM;Domestic;5;FIVE;PURPLE;OLDSMOBILE;AZ;OLDSMOBILE.CIERA
TRAIN;4803;106;YES;86667;FAMILY.LARGE;Domestic;7;SEVEN+;GREEN;OLDSMOBILE;CA;OLDSMOBILE.CUTLASS SUPREME
TRAIN;4481;107;YES;69970;FAMILY.SMALL;Domestic;5;FIVE;RED;DODGE;AZ;DODGE.NEON
TRAIN;5994;92;YES;70980;FAMILY.SMALL;Domestic;4;FOUR;GREEN;PONTIAC;GA;PONTIAC.GRAND AM
TRAIN;4690;135;YES;90918;FAMILY.LARGE;Domestic;9;SEVEN+;PURPLE;FORD;VA;FORD.CROWN VICTORIA
