Ano,Código,Nome da Disciplina,CH,CR,TU,MF,FA,SF,SE,rga_anonimo,Disciplina,Grupo de Disciplinas,Tipo de Disciplina,Optativa
2010/1,72100022,FUNDAMENTOS DE MATEMÁTICA,64,4,CC,3.3,6,RM,1,e5e493dcefc7ef7a5ca262f82e344b7e505c52998389498bc3fbe21b49987cf3,Fundamentos de Matemática,Fundamentos de Matemática,Matemática,Não
2010/1,72100023,GEOMETRIA ANALÍTICA E VETORIAL,96,6,CC,5.0,0,AP,1,e5e493dcefc7ef7a5ca262f82e344b7e505c52998389498bc3fbe21b49987cf3,Geometria Analítica e Vetorial,Geometria,Matemática,Não
2010/1,70400377,Lógica Matemática e Elementos de Lógica Digital,96,6,CC,5.0,0,AP,1,e5e493dcefc7ef7a5ca262f82e344b7e505c52998389498bc3fbe21b49987cf3,Lógica Digital,Lógica Digital,Computação,Não
2010/1,70400375,Programação I,96,6,CC,4.6,4,RM,1,e5e493dcefc7ef7a5ca262f82e344b7e505c52998389498bc3fbe21b49987cf3,Programação I,Programação,Computação,Não
2010/1,72000016,Práticas de Leitura e Produção de Textos,96,6,CC,7.1,4,AP,1,e5e493dcefc7ef7a5ca262f82e344b7e505c52998389498bc3fbe21b49987cf3,Práticas de Leitura e Produção de Texto,Práticas de Leitura e Produção de Texto,Linguagens,Não
2010/2,72100003,CÁLCULO I,96,6,CC,3.7,24,RM,2,e5e493dcefc7ef7a5ca262f82e344b7e505c52998389498bc3fbe21b49987cf3,Cálculo I,Cálculo,Matemática,Não
2010/2,72100020,ESTATISTICA GERAL,64,4,CC,4.0,5,RM,2,e5e493dcefc7ef7a5ca262f82e344b7e505c52998389498bc3fbe21b49987cf3,Estatística Geral,Estatística,Matemática,Não
2010/2,70400381,Matemática Discreta,64,4,CC,3.5,6,RM,2,e5e493dcefc7ef7a5ca262f82e344b7e505c52998389498bc3fbe21b49987cf3,Matemática Discreta,Matemática Discreta,Matemática,Não
2010/2,72100029,MECÂNICA,96,6,CC,6.8,6,AP,2,e5e493dcefc7ef7a5ca262f82e344b7e505c52998389498bc3fbe21b49987cf3,Mecânica,Mecânica,Física,Não
2010/2,70400375,Programação I,96,6,CC,2.23,26,RMF,1,e5e493dcefc7ef7a5ca262f82e344b7e505c52998389498bc3fbe21b49987cf3,Programação I,Programação,Computação,Não
2011/1,70400711,Arquitetura e Organização de Computadores,96,6,CC,0.0,0,RM,3,e5e493dcefc7ef7a5ca262f82e344b7e505c52998389498bc3fbe21b49987cf3,Arquitetura e Organização de Computadores,Arquitetura e Organização de Computadores,Computação,Não
2011/1,70400713,Introdução aos Sistemas de Informação,64,4,CC,0.0,72,RMF,3,e5e493dcefc7ef7a5ca262f82e344b7e505c52998389498bc3fbe21b49987cf3,Introdução aos Sistemas de Informação,Introdução aos Sistemas de Informação,Computação,Não
2011/1,70400375,Programação I,96,6,CC,0.0,86,RMF,1,e5e493dcefc7ef7a5ca262f82e344b7e505c52998389498bc3fbe21b49987cf3,Programação I,Programação,Computação,Não
2011/2,70400718,Banco de Dados,96,6,CC,0.0,0,RM,4,e5e493dcefc7ef7a5ca262f82e344b7e505c52998389498bc3fbe21b49987cf3,Banco de Dados,Banco de Dados,Computação,Não
2021/1,112700001,Cálculo I,96,6,CC,8.0,0,AP,1,7fcd895727c75ab994f5336c4f4a856451c80277d7dfca45fd580fc7595ae393,Cálculo I,Cálculo,Matemática,Não
2021/1,112700005,Eletrônica Básica,32,2,CC,9.9,0,AP,1,7fcd895727c75ab994f5336c4f4a856451c80277d7dfca45fd580fc7595ae393,Eletrônica Básica,Eletrônica Básica,Física,Não
2021/1,112700006,Geometria Analítica e Vetorial,64,4,CC,8.52,0,AP,1,7fcd895727c75ab994f5336c4f4a856451c80277d7dfca45fd580fc7595ae393,Geometria Analítica e Vetorial,Geometria,Matemática,Não
2021/1,112700004,Introdução à Computação,32,2,CC,9.63,0,AP,1,7fcd895727c75ab994f5336c4f4a856451c80277d7dfca45fd580fc7595ae393,Introdução à Computação,Introdução à Computação,Computação,Não
2021/1,112700003,Lógica Digital,64,4,CC,5.94,0,AP,1,7fcd895727c75ab994f5336c4f4a856451c80277d7dfca45fd580fc7595ae393,Lógica Digital,Lógica Digital,Computação,Não
2021/1,112700002,Programação de Computadores,64,4,CC,8.1,0,AP,1,7fcd895727c75ab994f5336c4f4a856451c80277d7dfca45fd580fc7595ae393,Programação I,Programação,Computação,Não
2021/2,112700012,Arquitetura de Computadores,64,4,CC,6.44,0,AP,2,7fcd895727c75ab994f5336c4f4a856451c80277d7dfca45fd580fc7595ae393,Arquitetura de Computadores,Arquitetura e Organização de Computadores,Computação,Não
2021/2,112700011,Cálculo II,96,6,CC,0.2,52,RMF,2,7fcd895727c75ab994f5336c4f4a856451c80277d7dfca45fd580fc7595ae393,Cálculo II,Cálculo,Matemática,Não
2021/2,112700009,Estrutura de Dados I,96,6,CC,1.9,8,RM,2,7fcd895727c75ab994f5336c4f4a856451c80277d7dfca45fd580fc7595ae393,Estrutura de Dados I,Estrutura de Dados,Computação,Não
2021/2,112700007,Introdução ao Eletromagnetismo,64,4,CC,5.75,4,AP,2,7fcd895727c75ab994f5336c4f4a856451c80277d7dfca45fd580fc7595ae393,Eletromagnetismo,Eletromagnetismo,Física,Não
2021/2,112700010,Laboratório de Lógica Digital,32,2,CC1,5.7,0,AP,2,7fcd895727c75ab994f5336c4f4a856451c80277d7dfca45fd580fc7595ae393,Laboratório de Lógica Digital,Lógica Digital,Computação,Não
2021/2,112700008,Matemática Discreta,64,4,CC,7.88,0,AP,2,7fcd895727c75ab994f5336c4f4a856451c80277d7dfca45fd580fc7595ae393,Matemática Discreta,Matemática Discreta,Matemática,Não
2022/1,112700042,Empreendedorismo,64,4,CC,8.65,0,AP,7,7fcd895727c75ab994f5336c4f4a856451c80277d7dfca45fd580fc7595ae393,Empreendedorismo,Empreendedorismo,Administração,Não
2022/1,112700017,Estatística Geral,64,4,CC,7.0,8,AP,3,7fcd895727c75ab994f5336c4f4a856451c80277d7dfca45fd580fc7595ae393,Estatística Geral,Estatística,Matemática,Não
